,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
1369023,220,Lagunitas Brewing Company,1103076122,4.5,4.0,4.5,mzwolinski,American Double / Imperial Stout,4.5,4.5,Cappuccino Stout,8.8,20445
1402225,18134,Redhook Ale Brewery,1205088477,4.0,4.0,3.5,BravoTwo,American IPA,3.0,3.5,Long Hammer IPA,6.5,34688
698954,130,Boulder Beer / Wilderness Pub,1160704837,3.5,3.5,4.0,ppoitras,Extra Special / Strong Bitter (ESB),3.5,3.5,GABF 25th Year Beer,,32473
430281,156,Tommyknocker Brewery,1311606115,4.0,4.0,4.5,GPHarris,American Black Ale,4.0,4.0,Hop Strike Black IPA,6.5,58876
1044708,257,Steel Brewing Company,1099624728,3.0,2.0,4.0,KroMagnon,American Malt Liquor,3.5,2.5,Steel Reserve 211 (High Gravity),8.1,718
456246,23922,Baxter Brewing Co.,1319936377,3.5,4.0,4.5,johnnnniee,American IPA,3.5,3.0,Stowaway I.P.A,6.9,65842
598697,1549,Goose Island Beer Co.,1279636471,4.0,3.0,4.0,beerwolf77,Kölsch,4.0,3.0,Summertime,5.0,1171
737515,21734,Brouwerij Dilewyns,1307197073,3.5,4.0,4.0,rvdoorn,Gueuze,3.5,3.5,Vicardin,7.0,38214
580681,2210,Firestone Walker Brewing Co.,1319760475,4.5,4.5,4.5,McD0uche,American IPA,5.0,4.5,Union Jack India Pale Ale,7.5,38180
1177371,10099,Dogfish Head Brewery,1303074358,4.0,3.5,4.0,tekn0ph1sh,American Brown Ale,4.0,4.0,Indian Brown Ale,7.2,1161
295856,35,Boston Beer Company (Samuel Adams),1324583958,3.0,3.0,4.0,danedelman,Bière de Champagne / Bière Brut,2.5,2.5,Infinium,10.3,64089
599903,1549,Goose Island Beer Co.,1320879417,4.0,4.0,3.5,goldbot,Saison / Farmhouse Ale,3.5,4.0,Sofie,6.5,48824
1180002,10099,Dogfish Head Brewery,1189555087,3.0,3.0,3.0,joeskirkie,Belgian Strong Dark Ale,3.5,4.0,Raison D'etre,8.0,1180
456730,7773,Legacy Brewing Co.,1207021937,4.0,3.0,3.5,northyorksammy,Witbier,3.0,3.5,Midnight Wit,4.9,29016
494176,132,Rogue Ales,1313970795,4.0,4.0,4.0,bishopdc0,Russian Imperial Stout,3.5,4.0,Imperial Stout,11.0,356
1146620,71,Fuller Smith & Turner PLC,1169508023,4.0,4.5,4.5,SilentSabre,Old Ale,4.5,4.5,Fuller's Vintage Ale,8.5,19426
1192730,10099,Dogfish Head Brewery,1266686859,3.5,4.0,4.0,DmanGTR,American Double / Imperial IPA,4.0,4.0,120 Minute IPA,18.0,9086
201624,192,New Belgium Brewing,1048589098,3.0,3.0,3.5,tavernjef,American Amber / Red Ale,3.5,3.0,Fat Tire Amber Ale,5.2,607
297405,35,Boston Beer Company (Samuel Adams),1165392320,4.0,4.0,4.0,sleazo,American Porter,3.5,3.5,Samuel Adams Holiday Porter,5.8,20564
750679,148,Belhaven Brewery Company Ltd.,1205088123,4.0,4.0,4.0,thierrynantes,English India Pale Ale (IPA),4.0,4.0,Belhaven Twisted Thistle IPA,5.3,25989
828540,267,Odell Brewing Company,1268691622,4.0,4.5,4.0,Flashsp2,American Amber / Red Ale,4.0,4.5,Red,6.5,47589
1292782,565,Michigan Brewing Company,1077815467,4.5,4.0,3.5,marburg,Belgian Strong Pale Ale,4.0,4.0,Celis Grand Cru,8.0,9584
530059,743,Lancaster Brewing Company,1263688548,4.0,3.5,4.0,magine,American IPA,3.5,4.0,Hop Hog India Pale Ale,7.9,21324
768464,42,Brewery Ommegang,1268869673,3.5,3.5,4.5,paulieatworld,Belgian Pale Ale,4.0,4.0,Ommegang BPA (Belgian-style Pale Ale),6.2,56875
681690,741,"Lakefront Brewery, Inc.",1210207919,2.0,2.0,2.5,barleywinefiend,Fruit / Vegetable Beer,2.0,2.0,New Grist Sorghum Beer,5.75,26368
1443254,63,Deschutes Brewery,1289969941,3.5,3.5,4.5,scottfrie,Winter Warmer,3.5,4.0,Jubelale,6.7,2178
1002025,435,Minhas Craft Brewery,1304997150,3.0,3.0,2.5,Duff27,American Adjunct Lager,3.0,3.0,Boxer Lager,5.0,62061
254701,1141,Brasserie Dieu Du Ciel,1247118579,4.0,4.0,4.0,HopHead84,Scotch Ale / Wee Heavy,4.0,4.0,Équinoxe Du Printemps,9.5,9659
12863,1289,The Ship Inn,1207501325,4.5,4.0,4.5,AltBock,English Porter,4.0,3.5,White Winter Porter,,34059
506772,132,Rogue Ales,1221611438,4.5,4.0,4.5,EnojysAnyBeer,Fruit / Vegetable Beer,4.5,4.0,Morimoto Black Obi Soba Ale,4.8,31282
1142989,863,Russian River Brewing Company,1254136657,4.5,4.5,4.0,Deuane,American Wild Ale,4.0,4.5,Temptation,7.25,9474
71915,140,Sierra Nevada Brewing Co.,1236821531,4.5,4.0,3.5,ahalloin,Extra Special / Strong Bitter (ESB),3.5,3.5,Sierra Nevada ESB (Early Spring Beer),5.9,40492
1473836,354,Carolina Beer Company,1244995180,3.5,3.5,3.5,TheTrevor,English Brown Ale,3.5,3.0,Cottonwood Low Down Brown Ale,5.4,5068
500606,132,Rogue Ales,1266016238,4.5,3.5,4.5,Bitterbill,Schwarzbier,4.0,4.5,Chatoe Rogue First Growth Dirtoir Black Lager,6.0,54929
1199795,9629,Short's Brewing Company,1261612674,3.5,4.0,4.0,malty,American Brown Ale,3.5,3.5,Good Humans,8.0,54876
726951,11269,Brugge Brasserie,1305261289,4.5,4.5,4.0,aasher,American Wild Ale,4.5,4.5,Harvey,6.0,69003
210400,192,New Belgium Brewing,1265060494,4.0,3.5,3.0,unHipHopHead,American IPA,3.5,4.5,Ranger,6.5,55081
600459,1549,Goose Island Beer Co.,1257693051,4.5,4.0,4.0,jjayjaye,American Brown Ale,4.0,4.0,Maduro,5.4,27166
723950,341,Columbus Brewing Company,1249955953,5.0,5.0,4.0,2Stout4u,American IPA,4.0,5.0,Columbus IPA,6.5,33215
27883,1199,Founders Brewing Company,1167192657,3.0,4.0,4.0,AndoBrew,Rye Beer,2.5,3.5,Founders Black Rye,6.6,16115
1037660,100,McNeill's Brewery,1176694079,4.5,3.0,3.5,shbobdb,Extra Special / Strong Bitter (ESB),4.0,3.5,McNeill's Duck's Breath Bitter,5.5,323
1047834,710,Jacob Leinenkugel Brewing Company,1235849855,4.0,3.5,4.0,FtownThrowDown,Russian Imperial Stout,3.5,4.5,Big Eddy Russian Imperial Stout,9.5,39334
1450526,213,Narragansett Brewing Co.,1313602395,4.5,4.0,4.0,dbexpert,American Blonde Ale,4.0,4.0,Narragansett Summer Ale,4.2,68147
480673,388,Brasserie Cantillon,1295794027,4.5,5.0,4.5,koopa,Lambic - Fruit,4.0,4.0,Cantillon Don Quijote,5.0,59144
55216,81,Heineken Nederland B.V.,1302101061,2.5,2.0,2.5,RuudJH,Euro Dark Lager,2.5,2.0,Heineken Oud Bruin,2.5,4087
1376695,1432,Jackie O's Pub & Brewery,1318036208,3.0,3.5,3.0,Huhzubendah,American Pale Wheat Ale,3.5,3.0,Orange Oak,9.0,54624
645249,30,Avery Brewing Company,1238335064,2.0,3.5,4.0,JohnQVegas,Märzen / Oktoberfest,3.0,3.0,The Kaiser,10.03,19425
635512,1114,Bullfrog Brewery,1288027059,4.5,4.5,4.0,Kegatron,American Double / Imperial IPA,4.5,4.0,Hop-Gasm,9.2,62058
1099442,418,Left Hand Brewing Company,1320685277,4.0,4.0,4.0,BeerLover99,German Pilsener,4.0,4.5,Polestar Pilsner,5.5,24651
875914,147,Stone Brewing Co.,1287709905,3.5,3.5,4.5,pmlondrigan,American Double / Imperial IPA,4.0,4.0,Stone Ruination IPA,7.7,4083
522787,113,Samuel Smith Old Brewery (Tadcaster),1277703591,2.0,3.5,3.0,bradleyp,Fruit / Vegetable Beer,3.0,3.5,Samuel Smith's Organic Strawberry Fruit Beer,5.2,47486
655760,57,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",1199477392,4.0,2.0,2.0,windigo32,American Adjunct Lager,3.0,2.0,Dos Equis Special Lager,5.0,1907
1017922,2470,The Brew Kettle Taproom & Smokehouse / Production Works,1263518538,4.0,4.5,4.5,wingman14,American Double / Imperial IPA,4.0,4.5,Old 21 Imperial IPA,9.5,17805
183409,396,AleSmith Brewing Company,1291508286,4.0,4.5,4.0,TurdFurgison,American Double / Imperial Stout,4.0,4.5,AleSmith Speedway Stout - Barrel Aged,12.0,31484
313449,35,Boston Beer Company (Samuel Adams),1229719942,4.0,3.0,4.0,LilBeerDoctor,American Pale Ale (APA),4.0,3.5,Samuel Adams Boston Ale (Stock Ale),4.94,1193
1378048,1432,Jackie O's Pub & Brewery,1314644854,4.0,3.5,4.0,womencantsail,American Double / Imperial Stout,4.0,4.0,Dark Apparition Brandy Barrel,10.5,70375
382559,870,Moylan's Brewery,1304491489,4.0,3.5,4.0,SubpoenaDeuces,Russian Imperial Stout,4.0,4.0,Ryan Sullivan's Imperial Stout,10.0,3706
777321,42,Brewery Ommegang,1208014903,5.0,3.5,4.0,1759Girl,Quadrupel (Quad),4.0,4.5,Three Philosophers Belgian Style Blend (Quadrupel),9.8,3457
581920,126,Pete's Brewing Company,1240982572,4.0,4.0,4.0,diabecktic,English Brown Ale,3.5,3.5,Pete's Wicked Ale,5.5,1397
1136970,863,Russian River Brewing Company,1299354337,3.5,4.5,4.0,chicano4craft,American Double / Imperial IPA,4.0,4.5,Pliny The Younger,11.0,21690
55836,688,Coastal Extreme Brewing Co.,1189904298,4.5,4.0,4.0,tgbljb,Märzen / Oktoberfest,4.0,4.5,Newport Storm Regenschauer Oktoberfest,5.3,6756
1585663,3835,Drake's Brewing Co.,1132813916,4.5,4.5,4.5,SwillinBrew,American Double / Imperial IPA,4.5,4.5,Drake's Denogginizer,9.75,22273
23841,1199,Founders Brewing Company,1282849768,4.0,4.5,4.0,claspada,American Double / Imperial Stout,3.0,4.0,Founders Breakfast Stout,8.3,11757
417997,73,Great Lakes Brewing Company,1304275564,4.0,4.0,4.0,secondtooth,Irish Red Ale,3.5,4.0,Great Lakes Conway's Irish Ale,6.5,5096
1365759,220,Lagunitas Brewing Company,1012178836,4.0,4.5,5.0,Tim,American Barleywine,5.0,5.0,Olde GnarlyWine,10.6,1579
805264,18149,The Lost Abbey,1291939133,2.5,5.0,5.0,SPThirtyThree,Quadrupel (Quad),3.5,3.0,Judgment Day,10.5,34415
1388054,292,"Kirin Brewery Company, Limited",1229560058,3.0,3.0,3.5,GratefulBeerGuy,American Pale Lager,4.0,3.5,Kirin Ichiban,5.0,1249
1330555,26,Three Floyds Brewing Co. & Brewpub,1141431737,4.5,4.0,3.5,MuddyFeet,Scottish Ale,4.0,4.0,Robert The Bruce Scottish Ale,6.5,1159
1534407,1534,Brouwerij Het Anker,1291318170,4.5,4.5,4.0,thierrynantes,Belgian Strong Dark Ale,4.0,4.5,Cuvée Van De Keizer Blauw (Blue),11.0,6947
354382,306,Coors Brewing Company,1270421008,4.0,3.0,3.0,Shamgar,American Amber / Red Ale,3.5,3.5,Rising Moon Spring Ale,5.4,40528
115581,76,Hacker-Pschorr Bräu GmbH,1256691592,4.0,4.0,4.0,droomyster,Märzen / Oktoberfest,4.0,4.0,Hacker-Pschorr Oktoberfest-Märzen,5.8,234
198029,192,New Belgium Brewing,1282314743,4.5,4.0,3.5,thagr81us,Berliner Weissbier,4.0,4.0,Lips Of Faith - Imperial Berliner Style Weisse,7.0,60068
1521855,45,Brooklyn Brewery,1298223273,4.0,3.5,4.5,decadance,Russian Imperial Stout,3.0,3.0,Brooklyn Black OPS,10.7,40149
348315,306,Coors Brewing Company,1278878911,5.0,2.5,2.5,Cubsfan1087,Light Lager,3.0,2.5,Keystone Light,4.2,1341
56795,14492,Almond '22,1307296750,3.5,3.5,3.5,TurdFurgison,American IPA,4.0,4.0,Pink IPA,6.2,60316
807998,683,Valkyrie Brewing,1148422871,4.5,4.0,4.0,rhoadsrage,Maibock / Helles Bock,4.0,4.0,J.S. Helles Bock,,3046
1071326,2137,Breckenridge Brewery,1250731417,3.5,3.0,3.5,Thur123,Bock,3.0,4.0,Pandora's Bock,7.5,3835
196138,4028,Neustadt Springs Brewery,1307380406,3.5,3.5,3.5,spinrsx,English Brown Ale,3.5,4.0,Neustadt 10w30,5.5,17885
983674,751,Big Sky Brewing Company,1239058208,4.0,4.0,5.0,naterock,American Brown Ale,3.5,4.5,Moose Drool Brown Ale,5.1,2296
101566,8264,Nørrebro Bryghus,1298934534,4.0,4.0,4.0,KingHefey,Milk / Sweet Stout,4.0,4.0,La Granja Stout (Ontario Maple Syrup Edition),7.5,65837
880559,147,Stone Brewing Co.,1148262169,4.5,4.5,4.0,jpm30,Russian Imperial Stout,4.5,4.5,Stone Imperial Russian Stout,10.5,1160
1377668,1432,Jackie O's Pub & Brewery,1316109815,2.5,2.5,2.0,angrybabboon,American Strong Ale,2.5,3.0,Cellar Cuvee 4,9.4,64000
1487383,23980,Yuengling Brewery ,1177454480,5.0,5.0,5.0,Bobmisy,American Amber / Red Lager,5.0,5.0,Yuengling Traditional Lager,4.4,1351
1226809,20679,Everybody's Brewing,1317394697,3.5,3.5,4.0,johnmichaelsen,Weizenbock,3.5,3.0,Batch 200 Weizenbock,6.0,73624
617128,10097,Harpoon Brewery,1251417040,4.0,4.0,4.0,ShogoKawada,Saison / Farmhouse Ale,4.0,3.0,Harpoon Leviathan - Saison Royale,9.0,52007
650126,30,Avery Brewing Company,1321040718,3.0,3.0,4.0,doughanson78,Belgian Strong Dark Ale,3.0,2.5,Collaboration Not Litigation Ale,8.72,34877
150974,3818,Southern Tier Brewing Company,1216236156,4.0,4.5,4.0,lordofthewiens,American Barleywine,4.0,4.5,Backburner (Imperial Barley Wine Style Ale),9.6,36185
143705,17981,Cigar City Brewing,1307505412,4.0,4.0,3.5,SFLpunk,Saison / Farmhouse Ale,4.0,4.5,Sea Bass,8.0,62206
178702,24453,Intuition Ale Works,1300339986,4.0,3.5,4.5,nickfl,American Black Ale,4.5,3.5,Shotgun Shack Black Rye Ale,5.5,65708
392831,3,Abita Brewing Co.,1321728415,2.5,2.5,2.5,JuicesFlowing,Märzen / Oktoberfest,3.0,2.5,Fall Fest,5.4,3000
21030,1199,Founders Brewing Company,1255226385,4.5,4.5,2.5,jjanega08,American IPA,4.0,5.0,Founders Harvest Ale,6.5,20478
719347,689,Two Brothers Brewing Company,1207192410,4.0,3.5,4.0,Billolick,Hefeweizen,3.5,4.0,Ebel's Weiss Beer,4.9,13804
612737,199,Ballast Point Brewing Company,1324008982,4.5,4.0,4.0,nickfl,American Double / Imperial Stout,4.0,4.5,Sea Monster Imperial Stout,10.0,46188
677508,32,Brauerei Beck & Co.,1217691584,4.5,2.5,3.5,ckaufman,Munich Dunkel Lager,2.5,3.0,Beck's Dark,4.8,1165
430360,156,Tommyknocker Brewery,1220481075,4.0,4.5,4.5,brentk56,American Brown Ale,4.5,4.0,Imperial Nut Brown Ale,9.8,21166
284849,35,Boston Beer Company (Samuel Adams),1189783121,4.0,4.5,4.0,mshallah,Doppelbock,4.0,4.0,Samuel Adams Double Bock (Imperial Series),9.5,47785
912940,1762,"St. George Brewing Company, The",1074528368,2.5,3.5,3.0,winomark,English Porter,2.5,3.0,Porter,5.0,4957
764234,144,Sprecher Brewing Company,1123713503,4.0,4.0,5.0,redmosquito,Märzen / Oktoberfest,4.0,3.5,Oktoberfest,6.0,997
681861,741,"Lakefront Brewery, Inc.",1251865395,3.5,3.0,4.0,ClockworkOrange,Extra Special / Strong Bitter (ESB),3.5,3.5,Organic ESB,5.42,2843
14668,12224,Rinkuškiai Alaus Darykloje,1207452733,2.0,4.0,3.0,Windigstadt,Euro Strong Lager,2.0,3.0,Lobster Lovers Beer,9.5,40176
819961,4378,Georgetown Brewing Company,1184385656,2.0,3.0,3.0,pwi03,American Amber / Red Ale,3.5,1.0,Chopper's Red Ale,6.5,33375
1312043,29,Anheuser-Busch,1254102458,4.0,3.5,4.0,abrand,American Porter,3.0,3.0,Michelob Porter,5.9,31731
92310,140,Sierra Nevada Brewing Co.,1224891657,4.0,4.0,4.0,Lexluthor33,American IPA,4.0,4.0,Sierra Nevada Chico Estate Harvest Wet Hop Ale (2008),6.7,44749
1020019,402,Old Dominion Brewing Company,1083643518,4.0,4.0,4.0,PhantomVodoo,Baltic Porter,4.0,4.0,Winter Brew 2003,5.8,13641
714501,811,Highland Brewing,1270556306,3.5,4.0,3.5,avalon07,Dubbel,4.0,3.5,Highland Seven Sisters Abbey Style Ale,6.5,56800
1099912,418,Left Hand Brewing Company,1268442599,4.0,4.0,4.0,samie85,Extra Special / Strong Bitter (ESB),3.5,3.5,Sawtooth Ale,5.3,1543
520352,113,Samuel Smith Old Brewery (Tadcaster),1166260082,4.0,3.0,4.0,Phatz,Euro Pale Lager,3.0,4.0,Samuel Smith's Pure Brewed Lager Beer,5.0,574
237631,2796,Brouwerij 't Gaverhopke,1260882315,3.0,2.5,3.5,wl0307,Belgian Strong Dark Ale,3.5,3.0,Het Kerstbier (Green Cap),8.0,7535
831119,267,Odell Brewing Company,1192149804,4.0,4.0,3.5,brewandbbq,American Double / Imperial Pilsner,4.0,4.0,Odell Double Pilsner,8.1,31255
828179,267,Odell Brewing Company,1221016689,5.0,3.0,3.5,JBuff41413,English Pale Ale,4.0,4.5,5 Barrel Pale Ale,5.2,22452
34580,1199,Founders Brewing Company,1320211367,4.5,4.0,4.5,DividedAvery,American Double / Imperial Stout,4.5,4.5,Founders KBS (Kentucky Breakfast Stout),11.2,19960
417578,73,Great Lakes Brewing Company,1165175539,4.0,4.0,4.0,gunnerman,Winter Warmer,4.0,4.0,Great Lakes Christmas Ale,7.5,1576
1581388,429,Alaskan Brewing Co.,1234828182,3.0,3.5,4.0,Billolick,Old Ale,4.0,3.5,Alaskan Winter Ale,6.4,1768
216374,624,Tuckerman Brewing Co.,1237432185,4.5,4.0,4.0,TheManiacalOne,Altbier,4.0,4.5,Headwall Alt,4.75,22919
727888,866,Scotch Irish Brewing Company,1199292467,4.0,4.5,4.0,Phyl21ca,Russian Imperial Stout,4.0,4.5,John By Imperial Stout,8.7,40119
1022826,390,Oaken Barrel Brewing Company,1292036646,4.5,4.5,4.0,biggred1,American IPA,4.0,4.5,Superfly I.P.A.,7.5,20969
1195151,7280,Brauerei Grieskirchen AG,1180996544,4.0,3.5,3.5,Chaz,Hefeweizen,4.0,3.5,Grieskirchner Jörger Weisse,5.1,27993
570858,9897,Jolly Pumpkin Artisan Ales,1271538645,5.0,4.5,4.0,DIM,Saison / Farmhouse Ale,4.5,4.5,Baudelaire IO,6.8,53703
1148012,71,Fuller Smith & Turner PLC,1061469540,4.5,4.0,4.0,Scoats,English Porter,4.0,4.5,Fuller's London Porter,5.4,221
5490,14879,Hoppin' Frog Brewery,1221065340,4.5,4.0,4.5,Kegatron,Russian Imperial Stout,4.5,4.5,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,9.4,33644
88720,140,Sierra Nevada Brewing Co.,1187227407,4.0,3.5,4.0,ericj551,American Brown Ale,3.5,3.5,Sierra Nevada Brown Ale,5.5,3055
729020,17963,Nectar Ales,1280382680,4.0,4.0,3.0,1759Girl,American Double / Imperial Stout,3.0,5.0,Black Xantus,11.0,53256
1219264,4,Allagash Brewing Company,1235873708,5.0,4.5,4.0,MiScusi,American Wild Ale,4.5,5.0,Allagash Interlude,9.5,27837
924335,75,Grupo Modelo S.A. de C.V.,1320550701,3.5,3.0,4.0,wordemupg,Munich Dunkel Lager,3.5,3.5,Negra Modelo,5.4,667
1348130,450,Yards Brewing Co.,1145734002,4.5,4.0,4.0,MUSHROOMCLOUD,English India Pale Ale (IPA),4.0,4.5,India Pale Ale,7.0,1481
352370,306,Coors Brewing Company,1019131187,4.0,3.5,4.0,Murph,Witbier,4.0,4.0,Blue Moon Belgian White,5.4,1212
65526,711,Alley Kat Brewing Company,1290106131,4.0,4.5,3.5,wordemupg,American Porter,3.0,4.0,Alley Kat Coffee Porter,5.2,38798
554476,467,Summit Brewing Company,1123511428,4.5,4.0,4.0,alexgash,Oatmeal Stout,4.0,4.0,Summit Oatmeal Stout,4.7,17637
1089430,348,Jack Russell's Steak House / Maine Coast Brewing Co.,1053972508,3.5,4.0,4.0,TXHops,Fruit / Vegetable Beer,3.0,3.0,Maine Coast Wild Blueberry Ale,,8907
612171,199,Ballast Point Brewing Company,1210551536,3.0,3.0,3.5,Stoneman78,Fruit / Vegetable Beer,3.5,3.0,Sour Wench Blackberry Ale,5.4,38040
1407893,664,Wells & Young's Ltd,1237176986,5.0,2.5,4.0,northaustin,Fruit / Vegetable Beer,4.0,3.5,Wells Banana Bread Beer,5.2,5488
